family,sae_key,sae_side,source,maemm,engine,run_tag,stratum,n,n_features,gate,k,ratio_median,ratio_mean,ratio_se_iid,item_fired,feat_firing
sae/sae2m/enc,qwen36-27b/sae2m,enc,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,2,64,128,1.682812,8,0.379472,0.427812,0.017985,0.163574,0.914062
sae/sae2m/enc,qwen36-27b/sae2m,enc,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,2,64,128,1.682812,16,0.423235,0.473014,0.019036,0.163574,0.914062
sae/sae2m/enc,qwen36-27b/sae2m,enc,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,2,64,128,1.682812,32,0.468614,0.516661,0.020316,0.163574,0.914062
sae/sae2m/enc,qwen36-27b/sae2m,enc,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,2,64,128,1.682812,64,0.491905,0.556234,0.021701,0.163574,0.914062
sae/sae2m/enc,qwen36-27b/sae2m,enc,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,3,64,128,1.682812,1,0.404899,0.475693,0.025934,0.501099,0.953125
sae/sae2m/enc,qwen36-27b/sae2m,enc,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,3,64,128,1.682812,2,0.468884,0.536445,0.026476,0.501099,0.953125
sae/sae2m/enc,qwen36-27b/sae2m,enc,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,3,64,128,1.682812,4,0.53918,0.588121,0.026844,0.501099,0.953125
sae/sae2m/enc,qwen36-27b/sae2m,enc,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,3,64,128,1.682812,8,0.608623,0.635853,0.027272,0.501099,0.953125
sae/sae2m/enc,qwen36-27b/sae2m,enc,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,3,64,128,1.682812,16,0.671196,0.676114,0.027583,0.501099,0.953125
sae/sae2m/enc,qwen36-27b/sae2m,enc,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,3,64,128,1.682812,32,0.715013,0.712925,0.027916,0.501099,0.953125
sae/sae2m/enc,qwen36-27b/sae2m,enc,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,3,64,128,1.682812,64,0.751785,0.744615,0.028634,0.501099,0.953125
