family,sae_key,sae_side,source,maemm,engine,run_tag,stratum,n,n_features,gate,k,ratio_median,ratio_mean,ratio_se_iid,item_fired,feat_firing
sae/sae2m/dec,qwen36-27b/sae2m,dec,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,1,64,128,1.682812,64,0.51693,0.533419,0.021314,0.097778,0.773438
sae/sae2m/dec,qwen36-27b/sae2m,dec,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,2,64,128,1.682812,1,0.267714,0.308244,0.015863,0.205933,0.914062
sae/sae2m/dec,qwen36-27b/sae2m,dec,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,2,64,128,1.682812,2,0.319728,0.366189,0.017124,0.205933,0.914062
sae/sae2m/dec,qwen36-27b/sae2m,dec,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,2,64,128,1.682812,4,0.364511,0.419204,0.018333,0.205933,0.914062
sae/sae2m/dec,qwen36-27b/sae2m,dec,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,2,64,128,1.682812,8,0.414852,0.46874,0.019925,0.205933,0.914062
sae/sae2m/dec,qwen36-27b/sae2m,dec,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,2,64,128,1.682812,16,0.469558,0.511896,0.021934,0.205933,0.914062
sae/sae2m/dec,qwen36-27b/sae2m,dec,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,2,64,128,1.682812,32,0.514313,0.549135,0.023776,0.205933,0.914062
sae/sae2m/dec,qwen36-27b/sae2m,dec,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,2,64,128,1.682812,64,0.538139,0.583338,0.025746,0.205933,0.914062
sae/sae2m/dec,qwen36-27b/sae2m,dec,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,3,64,128,1.682812,1,0.444099,0.526442,0.026854,0.548828,0.96875
sae/sae2m/dec,qwen36-27b/sae2m,dec,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,3,64,128,1.682812,2,0.510871,0.585995,0.027446,0.548828,0.96875
sae/sae2m/dec,qwen36-27b/sae2m,dec,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,3,64,128,1.682812,4,0.570215,0.638703,0.028066,0.548828,0.96875
sae/sae2m/dec,qwen36-27b/sae2m,dec,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,3,64,128,1.682812,8,0.624666,0.683247,0.028422,0.548828,0.96875
sae/sae2m/dec,qwen36-27b/sae2m,dec,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,3,64,128,1.682812,16,0.675596,0.725966,0.028778,0.548828,0.96875
sae/sae2m/dec,qwen36-27b/sae2m,dec,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,3,64,128,1.682812,32,0.735161,0.76357,0.028838,0.548828,0.96875
sae/sae2m/dec,qwen36-27b/sae2m,dec,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,3,64,128,1.682812,64,0.783373,0.798826,0.028676,0.548828,0.96875
