doc,coverage_n7,coverage_n13
1203,0,0
1204,0.003106,0
1205,0,0
1206,0.00542,0
1207,0.003968,0
1208,0,0
1209,0.210084,0.123894
1210,0.001548,0
1211,0.029289,0.004292
1212,0.001528,0
1213,0,0
1214,0,0
1215,0.00678,0
1216,0,0
1217,0.010949,0
1218,0.016393,0
1219,0,0
1220,0.00277,0
1221,0.008197,0
1222,0.003731,0
1223,0.014599,0
1224,0.000805,0
1225,0.002415,0
1226,0,0
1227,0,0
1228,0,0
1229,0.013263,0.005333
1230,0.283019,0.24
1231,0,0
1232,0.037393,0.020343
1233,0.453333,0.395664
1234,0.001742,0
1235,0,0
1236,0,0
1237,0,0
1238,0,0
1239,0,0
1240,0.004577,0
1241,0,0
1242,0.019971,0.004374
1243,0.007086,0
1244,0,0
1245,0.000934,0
1246,0,0
1247,0,0
1248,0,0
1249,0.001121,0
1250,0.12828,0.11276
1251,0.04721,0.013043
1252,0.027523,0
1253,0,0
1254,0.008253,0
1255,0,0
1256,0.00158,0
1257,0.010601,0
1258,0.010239,0
1259,0,0
1260,0,0
1261,0,0
1262,0.299492,0.255155
1263,0,0
1264,0.004049,0
1265,0,0
1266,0.000991,0
1267,0,0
1268,0.000911,0
1269,0,0
1270,0.066667,0
1271,0.008008,0
1272,0.000847,0
1273,0.001043,0
1274,0.014815,0
1275,0.00788,0.00407
1276,0,0
1277,0.017974,0.006601
1278,0,0
1279,0.001976,0
1280,0,0
1281,0,0
1282,0.002494,0
1283,0.001634,0
1284,0.001927,0
1285,0.006623,0
1286,0.089219,0.068441
1287,0,0
1288,0.072626,0.034682
1289,0.004854,0
1290,0.352273,0.286822
1291,0.773389,0.673684
1292,0.001186,0
1293,0.009346,0
1294,0,0
1295,0,0
1296,0.003306,0
1297,0,0
1298,0.002404,0
1299,0.000733,0
1300,0,0
1301,0,0
1302,0.003757,0
1303,0,0
1304,0.02069,0
1305,0,0
1306,0,0
1307,0,0
1308,0.003984,0
1309,0.001346,0
1310,0,0
1311,0.000342,0
1312,0,0
1313,0.011312,0
1314,0.005319,0
1315,0.045802,0.034749
1316,0.003145,0
1317,0,0
1318,0,0
1319,0,0
1320,0,0
1321,0.014663,0
1322,0.00131,0
1323,0,0
1324,0,0
1325,0,0
1326,0.002172,0
1327,0.002375,0
1328,0.008292,0
1329,0,0
1330,0,0
1331,0,0
1332,0.027985,0
1333,0,0
1334,0,0
1335,0.009346,0
1336,0,0
1337,0.090592,0.014235
1338,0,0
1339,0,0
1340,0.004149,0
1341,0,0
1342,0,0
1343,0.03777,0.027273
1344,0,0
1345,0,0
1346,0.008389,0.003373
1347,0,0
1348,0.003419,0
1349,0.005848,0
1350,0.005882,0
1351,0,0
1352,0.003274,0
1353,0.005525,0
1354,0,0
1355,0.381579,0.323529
1356,0.016892,0
1357,0.004215,0
1358,0,0
1359,0,0
1360,0,0
1361,0.0199,0
1362,0.0125,0
1363,0.001976,0
1364,0.079661,0.070205
1365,0,0
1366,0,0
1367,0.02,0
1368,0,0
1369,0.004,0
1370,0.001289,0
1371,0,0
1372,0.002101,0
1373,0,0
1374,0.002141,0
1375,0,0
1376,0,0
1377,0.019139,0.008052
1378,0.216,0.143631
1379,0.034247,0
1380,0,0
1381,0,0
1382,0,0
1383,0.005714,0
1384,0,0
1385,0.115385,0
1386,0.004115,0
1387,0,0
1388,0.001461,0
1389,0,0
1390,0.040282,0.027099
1391,0.003597,0
1392,0,0
1393,0.00122,0
1394,0.002887,0
1395,0,0
1396,0,0
1397,0.003841,0
1398,0.029155,0.008902
1399,0,0
1400,0.009434,0
1401,0.001577,0
1402,0,0
1403,0,0
1404,0.005917,0
1405,0,0
1406,0,0
1407,0,0
1408,0,0
1409,0,0
1410,0,0
1411,0.000741,0
1412,0,0
1413,0,0
1414,0,0
1415,0.014085,0
1416,0.003295,0
1417,0,0
1418,0,0
1419,0.01,0
1420,0.00111,0
1421,0,0
1422,0.004054,0
1423,0.101613,0.060261
1424,0.000754,0
1425,0,0
1426,0.006349,0
1427,0.000521,0
1428,0.001739,0
1429,0.000869,0
1430,0,0
1431,0,0
1432,0,0
1433,0,0
1434,0.537402,0.346614
1435,0,0
1436,0.002994,0
1437,0.003717,0
1438,0.003714,0
1439,0,0
1440,0.001835,0
1441,0,0
1442,0,0
1443,0.002561,0
1444,0.009921,0
1445,0.004587,0
1446,0,0
1447,0,0
1448,0,0
1449,0.009346,0
1450,0.040201,0
1451,0.004566,0
1452,0.097656,0.063851
1453,0.351573,0.256552
1454,0.129834,0.089888
1455,0,0
1456,0,0
1457,0,0
1458,0,0
1459,0,0
1460,0,0
1461,0,0
1462,0.002762,0
1463,0,0
1464,0,0
1465,0.008095,0.00375
1466,0.008502,0
1467,0.00134,0
1468,0,0
1469,0.003322,0
1470,0,0
1471,0.01,0
1472,0,0
1473,0,0
1474,0.015464,0
1475,0,0
1476,0,0
1477,0,0
1478,0,0
1479,0.538144,0.518979
1480,0,0
1481,0,0
1482,0,0
1483,0.002571,0
1484,0.077778,0.042373
1485,0,0
1486,0.010989,0
1487,0.003263,0
1488,0,0
1489,0,0
1490,0.016667,0
1491,0,0
1492,0.003033,0
1493,0.009868,0
1494,0,0
1495,0.01087,0
1496,0,0
1497,0.001016,0
1498,0.007092,0
1499,0.011278,0
1500,0,0
1501,0.002732,0
1502,0.002967,0
1503,0,0
1504,0,0
1505,0.009091,0
1506,0.001527,0
1507,0.051213,0.035616
1508,0,0
1509,0,0
1510,0,0
1511,0,0
